Afrikaans [African]
allemand
Allemand [German]
Anglais
Anglais [English]
Arabe [Arabic]
Castillan [Castillian]
Castillian
Catalan [Catalonian]
Coréan [Korean]
Croate [Croatian]
Danish
Danois [Danish]
Deutsch
Deutsch - Latein [German - Latin]
Deutsch ; English
Deutsch ; English ; Español ; Italiano
Deutsch [German]
"Deutsch, Français [German, French]"
Dutch - French
En croate
English
English - French
English - French - Italian
English - German
English - Japanese
Espagnol [Spanish]
Español [Spanish]
fran
Français
Français [French]
French
French - Bulgarian
French - Latin
German
Grec [Greek]
Grec [Greek] - Italien [Italian]
Greco [Greek]
Greek
"Greek, Latin, English"
Hébreu [Hebrew]
Hongrois [Hungarian]
Hungarian
Icelandais [Icelandic]
Indonesian
indonésien
Indonésien [Indonesian]
Italiaans [Italian]
Italian
italiano
Italiano - Latino [Italian - Latin]
Italiano [Italian]
Italien
Italien [Italian]
Japanese
Japonais [Japanese]
Latein - Deutsch [Latin - German]
Latein - Mittelhochdeutsch [Latin - Middle High German]
Latin
Latin - Allemand [Latin - German]
Latin - Dutch
Latin  -English
Latin - English
Latin - Español [Latin - Spanish]
Latin - Français [Latin - French]
Latin - French
Latin - German
Latin - Greek
Latin - Italian
Latin - Italien [Latin - Italian]
Latin - Spanish
Latvian
Maltese
Moyen anglais
Nederlands [Dutch]
Néerlandais [Dutch]
Nordic
Norvégien
Norwegian
Polonais
Polonais [Polish]
Polska [Polish]
polski [Polish]
Portugais [Portuguese]
Português [Portuguese]
Portuguese
Portuguese - German
Roumain [Roumanian]
Roumanian
Russe [Russian]
Russian
Serbo-croate [Serbo-Croatian]
Serbo-Croatian
Slovène [Slovenian]
Slovenian
Slowaaks [Slovak]
Spanish
Suédois [Swedish]
Swedish
Tchèque [Czech]
